Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0040,171,202,58.02
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0040,171,336,213.43
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0040,172,358,148.18
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0040,172,175,65.45
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0040,172,343,250.63
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0040,171,396,161.86
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0040,171,179,66.93
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0040,171,328,250.26
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0040,170,384,162.77
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0040,170,184,68.90
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0040,170,432,314.58
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0040,170,429,168.93
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0040,170,206,73.27
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0040,170,434,277.96
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0030,226,485,182.02
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0030,226,261,66.04
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0030,226,439,228.52
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0030,226,467,153.37
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0030,226,231,73.46
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0030,226,441,362.62
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0030,224,534,161.77
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0030,224,348,73.93
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0030,224,504,263.28
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0030,223,478,165.78
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0030,223,252,75.95
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0030,223,512,335.62
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0030,227,588,167.99
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0030,227,310,82.33
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0030,227,714,355.93
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0020,393,735,169.01
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0020,393,411,78.07
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0020,393,729,224.54
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0020,393,744,204.43
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0020,393,446,86.55
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0020,393,772,342.74
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0020,390,774,157.97
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0020,390,464,87.04
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0020,390,713,315.38
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0020,386,737,161.89
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0020,386,427,89.02
