Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,60602,0,0.0010,866,1194,510.18
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1-ACCUMULATED.txt,61102,0,0.2000,0,142,52.44
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1-ACCUMULATED.txt,61102,0,0.2000,0,60,68.92
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1-ACCUMULATED.txt,61102,0,0.2000,0,64,55.04
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.0800,4,276,66.98
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.0800,3717,1018,547.57
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.0800,3717,2298,1058.56
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.1000,0,138,61.83
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.1000,2000,614,207.67
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms-accumulated.txt,8416,0,0.1000,2000,1464,567.99
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms.txt,8616,200,0.0100,3422,3390,224.85
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,8209,181.64
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3026,501.75
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7133,1251.47
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,5196,500,0.2000,1397,1772,78.18
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,5196,500,0.2000,1397,978,501.96
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,5196,500,0.2000,1397,1939,998.44
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms-accumulated.txt,8616,200,0.2000,228,870,70.86
